rank,name,category,yahoo_price,coupon_discount,point_return,net_cost,mercari_median,mercari_min,profit_yen,profit_margin_pct,is_profitable,yahoo_url
11,米 令和7年産 米 お米 10kg×3 はえぬき 玄米30kg 山形産 白米・無洗米・分づきにお好み精米 送料無料 当日精米 置き配可,うるち米、玄米,21800,1000,2080,18512,6200,1600,-13532,-218.26,False,https://store.shopping.yahoo.co.jp/miuranouen/haenuki30kg.html
12,★期間限定価格 7/6まで★ ◆年間ランキング1位◆ ルームランナー MAX16km/h 電動ルームランナー ランニングマシン ウォーキングマシン トレッドミル,ランニングマシン,34900,1000,3390,30171,18500,7900,-14121,-76.33,False,https://store.shopping.yahoo.co.jp/amj/bw-rr16.html
13,ミシン 初心者 安い 最短翌日配送 ジャノメ JANOME 電動ミシン JN508DX-2B JN-508DX-2B,電動ミシン,24800,1000,476,23086,11900,10000,-12976,-109.04,False,https://store.shopping.yahoo.co.jp/i-ozu/ja090.html
14,数量限定販売 令和7年産 秋田県産  ミルキープリンセス 20kg(5kg×4袋) 脱気包装★選べる精米【白米 無洗米 】★,うるち米、玄米,25000,1000,2400,21360,8940,550,-13914,-155.64,False,https://store.shopping.yahoo.co.jp/nowson/n-r-02-30-h-24.html
15,大幅値下げ中 クロスバイク 700C シマノ製6段変速 自転車 初心者 女性 おすすめ 人気 通勤 通学 軽量 おしゃれ 安い 送料無料 CL266,クロスバイク,21800,1000,2080,18512,24400,18900,2848,11.67,False,https://store.shopping.yahoo.co.jp/21technology/cl26-1.html
16,除湿機 衣類乾燥 小型 衣類乾燥除湿機 コンプレッサー タンク容量3.5L コロナ CORONA おしゃれ 木造8畳 鉄筋16畳まで CD-P63A3 コロナ CORONA,除湿機,20800,1000,1980,17622,18000,9000,-2022,-11.23,False,https://store.shopping.yahoo.co.jp/e-kurashi/q9122.html
17,掃除機 コードレス掃除機 ダイソン Dyson V12s Origin サイクロン式 掃除機 dyson SV49OR,掃除機,69850,1000,6885,61276,6400,1580,-56116,-876.81,False,https://store.shopping.yahoo.co.jp/dyson/485228-01.html
18,デスクトップパソコン 中古 パソコン Microsoft Office 2024 第8世代 Corei3 3.0Ghz 爆速SSD512GBGB メモリ32GB USB3.0 Win10/Win11 Pro-DVD HP NEC等 新生活,Windowsデスクトップ,39800,1000,3880,34532,1200,550,-34052,-2837.67,False,https://store.shopping.yahoo.co.jp/pc-m/dell-780-4-250-win10-2016.html
19,ノートパソコン windows11 MS Office パソコン Win11 ノートPC 中古パソコン Corei5 第6世代 高速SSD512GB メモリ8GB カメラ/WIFI内蔵 軽量12.5型 DELL E7270,Windowsノート,30800,1000,2980,26522,16500,8000,-12272,-74.38,False,https://store.shopping.yahoo.co.jp/pc-m/20186222031.html
20,『即日出荷』DUNLOP ダンロップ FORT フォート [2個入]1箱 30缶/60球 テニスボール,硬式テニスボール,22200,1000,2120,18868,2000,799,-17668,-883.4,False,https://store.shopping.yahoo.co.jp/kpi/10b013-c.html
21,米 令和7年産 米 お米 はえぬき 玄米30kg 山形産 白米・無洗米・分づきにお好み精米 送料無料 当日精米 置き配可,うるち米、玄米,21500,1000,2050,18245,16000,2460,-4445,-27.78,False,https://store.shopping.yahoo.co.jp/miuranouen/haenuki30kg-1.html
22,カニ 5kg かに ズワイガニ ボイル 特大 蟹 ずわいがに脚,ズワイガニ,29800,1000,2880,25632,18400,3800,-9672,-52.57,False,https://store.shopping.yahoo.co.jp/morigen/zkani-010.html
23,ノートパソコン パソコン ノートパソコン Windows11 新品 SSD512GB メモリ16GB MS Office2024 COREi3 第七世代 15.6型 液晶 HDMI カメラ NEC VXシリーズ,Windowsノート,38400,1000,3740,33286,23000,15000,-13186,-57.33,False,https://store.shopping.yahoo.co.jp/pc-m/nec-vd-9-4-500-10-2016.html
24,米 30kg 5kg×6袋セット お米 玄米 ななつぼし 北海道産 玄米 白米 分づき米 令和7年産 送料無料,うるち米、玄米,22980,1000,2198,19562,16000,2460,-5762,-36.01,False,https://store.shopping.yahoo.co.jp/ginsyariya/gen-010.html
25,★期間限定価格 7/6まで★ 電動 ルームランナーMAX14km/h ルームランナー 電動 BARWING WIDE設計 ランニングマシン,ランニングマシン,27900,1000,2690,23941,,,,,False,https://store.shopping.yahoo.co.jp/amj/bw-rr10.html
26,最安値に挑戦 二段ベッド 2段ベッド ベッド 耐震 耐荷重300kg 頑丈 天然木 竹製 分離可能 木製 LVLすのこ 収納 NEWプリウス=ART,二段ベッド,26999,1000,2600,23139,2715,550,-21296,-784.36,False,https://store.shopping.yahoo.co.jp/luckykagu/34006035.html
27,●割引クーポン対象● 車椅子 軽量 コンパクト ケアテックジャパン ハピネス CA-10SU 自走式《非課税》,自走用車椅子,22400,1000,2140,19046,14000,5000,-7046,-50.33,False,https://store.shopping.yahoo.co.jp/yua-shop/w31-001.html
28,【メーカー直送】ヘアビューロン 4D Plus [ストレート]　｜バイオプログラミング公式｜送料無料｜正規品｜,ヘアアイロン,49500,1000,4850,43165,4000,300,-40165,-1004.12,False,https://store.shopping.yahoo.co.jp/bioprogramming/hbrst4d-g-jp.html
29,大幅値下げ中 ロードバイク 自転車 シマノ製14段変速 700C 700×28C おすすめ 初心者 女性 人気 軽量 通勤 通学 街乗り スポーツ自転車 安い 送料無料 700C,ロードバイク,23800,1000,2280,20292,5980,980,-15510,-259.36,False,https://store.shopping.yahoo.co.jp/21technology/700c.html
30,ベビーチェア ハイチェア ビヨンドジュニア オプション買い足し不要 日本総代理店 赤ちゃん イス 離乳食 Beyond Junior 送料無料 爆買,ベビーラック、チェア,31790,1000,3079,27403,6200,500,-22423,-361.66,False,https://store.shopping.yahoo.co.jp/babywest/396bj.html
31,ポーター ワイズ ロングウォレット 341-01318 吉田カバン PORTER WISE LONG WALLET 長財布 財布 メンズ レディース 本革,メンズ長財布,39600,1000,3860,34354,12000,1700,-24154,-201.28,False,https://store.shopping.yahoo.co.jp/galleria-onlineshop/341-01318.html
32,外付けHDD 2TB ハードディスク HDD ポータブル テレビ録画 TV 録画 対応 トランセンド Transcend 耐衝撃 TS2TSJ25M3S,HDD、ハードディスクドライブ,29800,1000,2880,25632,9800,4390,-17412,-177.67,False,https://store.shopping.yahoo.co.jp/sanwadirect/ts2tsj25m3s.html
33,米 お米 10kg×3 あきたこまち 玄米30kg 令和7年産 山形産 白米・無洗米・分づきにお好み精米 送料無料 当日精米 置き配可,うるち米、玄米,21800,1000,2080,18512,6200,1600,-13532,-218.26,False,https://store.shopping.yahoo.co.jp/miuranouen/akitakomachi30.html
34,ランドセル 女の子 おしゃれ かわいい 軽い 大容量  ラン活 パープル クーロン 0066  赤 レッド ピンク 水色,ランドセル,27000,1000,2600,23140,12000,160,-12940,-107.83,False,https://store.shopping.yahoo.co.jp/floro/18coulomb01set.html
35,正規販売店 東芝 温水洗浄便座 クリーンウォッシュ SCS-T260 パステルアイボリー TOSHIBA メーカー公認店 交換 脱臭 新生活,温水洗浄便座、シャワートイレ,21700,1000,414,20079,6900,800,-14469,-209.7,False,https://store.shopping.yahoo.co.jp/emedama/4904550922156.html
36,ノートパソコン 中古 パソコン Office2024搭載 windows11 Core i3 第11世代 メモリ8GB SSD128GB 内臓DVD 富士通 A5511 15.6型 パソコン PC ノートPC,Windowsノート,29800,1000,2880,25632,24750,2420,-3957,-15.99,False,https://store.shopping.yahoo.co.jp/pc-m/20196141910.html
37,『即日出荷』DUNLOP ダンロップ 「FORT フォート [2個入]1箱 30缶/60球 」テニスボール,硬式テニスボール,22200,1000,2120,18868,2000,799,-17668,-883.4,False,https://store.shopping.yahoo.co.jp/kpi/10b013.html
38,敷布団 雲のやすらぎ プレミアム 腰痛  ホワイト 日本製 高反発敷布団 体圧分散 防ダニ 防臭 あすつく 送料無料 厚さ約17cm 爆買 (シングル),敷き布団,44800,1000,4380,38982,2625,1100,-37220,-1417.89,False,https://store.shopping.yahoo.co.jp/ichibanboshi/f00129.html
39,TAKMO  エンジンオイル 5W-30 20L SQ/RC GF-7 ガソリン車 化学合成油 合成油 HIVI API取得 エンジンオイル送料無料 HIGH QUALITY 5W-30,エンジンオイル,23990,1000,2299,20461,7450,6500,-14356,-192.7,False,https://store.shopping.yahoo.co.jp/takumimotoroil/hq05302001.html
40,"【7/7 0時まで 79,800円】新製品 EcoFlow ポータブル電源 DELTA 3 Classic 1024Wh + 160W軽量両面 ソーラーパネル キャンプ 防災 車中泊 エコフロー",自動車用　バッテリー充電器、発電機,153700,1000,15270,135903,50000,6300,-91503,-183.01,False,https://store.shopping.yahoo.co.jp/ecoflow/delta2160w2.html
41,ノートパソコン ノートPC Win11 DELL E7270 第六世代 Corei5 12型 WIFI Bluetooth Webカメラ内蔵 メモリ16GB SSD256GB MS Office2019 Win11 中古パソコン,Windowsノート,43800,1000,4280,38092,27000,6000,-14392,-53.3,False,https://store.shopping.yahoo.co.jp/pc-m/201809051738.html
42,★期間限定価格 7/6まで★ 電動ルームランナー 10km ランニングマシン ウォーキング 折りたたみ式 ジョギング ダイエット フィットネス,ランニングマシン,20900,1000,1990,17711,10800,280,-8591,-79.55,False,https://store.shopping.yahoo.co.jp/amj/yt-rr10.html
43,子供用自転車 24インチ 男子 男の子 マウンテンバイク 小学生 誕生日 プレゼント 人気 かっこいい かご おすすめ 安い 子供 子ども 送料無料 SKD246,子供用自転車,22800,1000,2180,19402,,,,,False,https://store.shopping.yahoo.co.jp/21technology/kd246.html
44,除湿機 コンプレッサー アイリスオーヤマ コンパクト 7L/日 ホワイト 送料無料 コンプレッサー除湿機 衣類乾燥除湿機 除湿器 乾燥機 乾燥器 衣類乾燥機,除湿機,32440,1000,3144,27982,6500,3200,-22732,-349.72,False,https://store.shopping.yahoo.co.jp/petkan/569285.html
45,ゆめぴりか 30kg 5kg×6袋 白米27kg 玄米30kg 北海道産 令和7年産 特A 送料無料 鮮度保持パック変更可,うるち米、玄米,23980,1000,2298,20452,16400,7500,-6292,-38.37,False,https://store.shopping.yahoo.co.jp/marukichikayano/11019930.html
46,ソファー 3人掛け 洗える カバーリング ソファ カウチソファ カウチソファー ソファーベッド L字 ローソファ おしゃれ ファブリック 北欧,ソファ,45999,1000,4500,40049,21500,7080,-21299,-99.07,False,https://store.shopping.yahoo.co.jp/don2/hy-5182-4.html
47,5日+5% ソファー 3人掛け おしゃれ ソファ 北欧 カウチソファ オットマン L字 コーナーソファ レザー ファブリック 洗える カバー ロー 90500001 超大型,ソファ,45999,1000,4500,40049,,,,,False,https://store.shopping.yahoo.co.jp/tansu/31200005.html
48,ポーター ヒート ウォレット 703-07976 二つ折り財布 吉田カバン PORTER HEAT WALLET 小銭入れあり ナイロン メンズ レディース,メンズ二つ折り財布,23100,1000,2210,19669,8888,1122,-12270,-138.05,False,https://store.shopping.yahoo.co.jp/galleria-onlineshop/703-07976.html
49,二段ベッド 2段ベッド 大人用 子供 頑丈 分割可能 転落防止柵 耐荷重500kg 宮付き コンセント付 大臣3 本体のみ -ART,二段ベッド,45800,1000,4480,39872,13400,1300,-28412,-212.03,False,https://store.shopping.yahoo.co.jp/luckykagu/175200008.html
50,155/65R14 ホイールが選べる 軽自動車用サマータイヤホイールセット 送料無料 4本セット,自動車　夏タイヤホイールセット,35000,1000,3400,30260,8000,3500,-23660,-295.75,False,https://store.shopping.yahoo.co.jp/autoway/select-set-1556514-w-.html
